JA04-03-AP-00013
PIPING AND INSTRUMENTATION DIAGRAM\JUDY RISER PLATFORM AND BRIDGE\JASMINE FLOW LINE
Continuity Labels
Number,Tag,x,y,w,h,Pointing Direction,Location
1,JA04-03-AP-00252,182,4948,284,61,right,A6
2,JA04-03-AP-00021,182,4454,284,61,right,A6
3,JA04-97-AE-00035,720,3973,283,60,right,A5
4,JA04-03-AP-00016,182,3973,284,60,right,A5
5,JA04-97-AE-00035,966,3694,61,283,up,B5
6,JA04-97-AE-00035,832,3694,61,283,up,A5
7,JA04-97-AE-00035,698,3694,60,283,up,A5
8,JA04-97-AE-00035,1045,3693,61,283,down,B5
9,JA04-03-AP-00045,5581,3502,284,61,right,G5
10,JA04-03-AP-00045,5581,3232,284,61,right,G4
11,JA04-03-AP-00060,182,2784,284,61,right,A4
12,JA04-03-AP-00045,5581,2650,283,61,right,G4
13,103-PSHHH1006,384,2413,251,108,unknown,A3
14,103-PSHH1006,386,2233,231,109,unknown,A3
15,JA04-03-AP-00014,5581,1573,283,61,right,G2
16,103PSHH1011,5539,1057,232,109,unknown,F2
17,JA04-03-AP-00131,194,632,283,60,right,A1
18,JA04-03-AP-00099,182,419,284,61,right,A1
Equipment symbols
Number,Class,x,y,w,h,Location
1,Flange,2627,4825,7,38,C6
2,DB&BBV + Valve Check (Horizontal),2395,4466,138,83,C6
3,Valve Check (Horizontal-Right),1913,4466,71,37,C6
4,Flange,1488,4466,4,37,B6
5,Injector Point (Vertical),2608,4429,71,113,C6
6,Arrowhead + Triangle,1286,4359,200,161,B5
7,Triangle,479,4009,14,40,A5
8,Arrowhead,2614,3994,16,17,C5
9,Valve Check (Horizontal-Right),2182,3984,71,38,C5
10,Valve Check (Horizontal-Right),2104,3984,71,38,C5
11,Reducer (Horizontal-Right),1986,3984,38,38,C5
12,Valve Globe (Horizontal),1252,3984,72,42,B5
13,Reducer (Horizontal-Left),1185,3984,38,38,B5
14,Flange,1140,3984,4,38,B5
15,Flange,1118,3984,4,38,B5
16,Flange,670,3984,4,38,A5
17,Flange,648,3984,4,38,A5
18,DB&BPV (Vertical),1639,3887,105,84,B5
19,Arrowhead,2276,3536,18,28,C5
20,Flange,4310,3514,4,37,E5
21,Flange,4288,3514,4,37,E5
22,Valve Globe (Horizontal),3616,3514,71,37,D5
23,Valve Ball,4557,3497,71,71,E5
24,Reducer (Vertical-Up),2042,3367,38,50,C4
25,Valve Ball,2440,3294,71,71,C4
26,Reducer (Horizontal-Left),2311,3244,37,37,C4
27,Valve Ball,2753,3227,72,71,C4
28,Valve Angle Type B,2042,3193,54,105,C4
29,Valve Check (Horizontal-Right),1913,2796,71,37,C4
30,DB&BPV (Horizontal),2395,2779,138,99,C4
31,Injector Point (Vertical),2608,2762,71,109,C4
32,ESDV Valve Ball Piston Operated(Vertical),1096,2689,109,161,B4
33,Reducer (Horizontal-Left),4736,2661,37,38,F4
34,Flange,4713,2661,4,38,F4
35,Valve Ball,4892,2645,75,71,F4
36,Valve Ball,3380,2645,72,71,D4
37,Triangle,4068,2600,15,14,E3
38,ESDV Valve Ball Piston Operated(Vertical),3974,2555,82,161,E3
39,DB&BBV (Horizontal),2537,2549,75,83,C3
40,DB&BBV (Horizontal),2537,2348,75,82,C3
41,DB&BBV (Horizontal),2537,2156,75,83,C3
42,DB&BBV (Horizontal),2539,1966,74,82,C3
43,DB&BBV (Horizontal),2539,1787,73,82,C3
44,Valve Control Angle Choke (Vertical),3347,1618,82,161,D2
45,Rupture Disc,4490,1615,24,39,E2
46,Triangle,3609,1614,44,38,D2
47,ESDV Valve Ball Piston Operated(Vertical),2944,1613,102,161,D2
48,DB&BPV (Horizontal),4120,1610,116,113,E2
49,Arrowhead,4090,1610,18,30,E2
50,Flange,4657,1585,4,38,F2
51,Arrowhead + Triangle,2653,1548,192,89,C2
52,Arrowhead,4795,1522,10,9,F2
53,ESDV Valve Ball Piston Operated(Vertical),3907,1479,95,144,E2
54,ESDV Valve Ball Piston Operated(Vertical),3705,1479,91,144,D2
55,Reducer (Vertical-Up),3543,1473,38,38,D2
56,DB&BBV (Vertical-Left),5301,1455,83,117,F2
57,DB&BBV (Vertical-Left),5122,1455,83,117,F2
58,DB&BBV (Vertical-Left),5481,1453,82,119,F2
59,DB&BBV (Vertical-Left),4618,1443,83,129,E2
60,Arrowhead,2634,1363,18,29,C2
61,Arrowhead,3498,1349,19,17,D2
62,Reducer (Horizontal-Right),3431,1347,38,38,D2
63,Valve Control Angle Choke (Vertical),3526,1255,88,138,D2
64,ESDV Valve Slab Gate,2731,1232,81,144,C2
65,DB&BBV (Vertical-Left),2647,1231,82,95,C2
66,DB&BBV (Vertical-Left),2938,1197,83,129,D2
67,DB&BBV (Vertical-Left),3173,1165,83,138,D2
68,Valve Check (Vertical-Down),3173,1062,38,73,D2
69,Arrowhead,3162,653,32,18,D1
70,Reducer (Vertical-Down),3417,470,8,14,D1
71,Arrowhead,4977,440,28,18,F1
72,DB&BBV + Valve Check (Horizontal),3296,430,129,83,D1
73,Valve Check (Horizontal-Right),2787,429,71,39,D1
74,ESDV Valve Ball Piston Operated(Vertical),2182,324,90,161,C1
75,Flange Joint,2663,4769,17,38,C6
76,Valve Ball,1667,4516,71,78,B6
77,Flange Joint,2573,4466,16,37,C6
78,Flange Joint,1577,4466,10,37,B6
79,Valve Ball,508,4034,72,77,A5
80,DB&BPV (Horizontal),2496,3967,82,100,C5
81,ESDV Valve Ball Piston Operated(Vertical),2327,3878,99,144,C5
82,Flange Joint,1919,3965,37,18,C5
83,Flange Joint,1482,3964,38,19,B5
84,Flange Joint,1336,3965,38,18,B5
85,Valve Ball,4097,3424,72,77,E4
86,Flange Joint,2210,3244,15,28,C4
87,Valve Ball,1633,2818,71,105,B4
88,Flange Joint,2573,2796,16,37,C4
89,Flange Joint,1544,2796,9,37,B4
90,Flange Joint,1448,2796,10,37,B4
91,Valve Plug (Vertical),3733,2711,49,78,E4
92,DB&BBV (Vertical-Left),4529,2572,82,77,E3
93,Valve Plug (Vertical),3588,2572,49,77,D3
94,Valve Plug (Vertical),3117,1770,49,77,D3
95,Valve Plug (Vertical),3565,1609,49,103,D2
96,Valve Ball,4814,1467,80,172,F2
97,Flange Joint,4450,1567,38,16,E2
98,Flange Joint,4361,1567,37,16,E2
99,Flange Joint,4237,1567,38,16,E2
100,Flange Joint,4114,1567,38,16,E2
101,Injector Point (Horizontal),4954,1544,105,95,F2
102,Valve Plug (Vertical),2893,1372,49,94,D2
103,Flange Joint,3173,1322,38,15,D2
104,Valve Ball,3195,694,106,71,D1
105,Flange Joint,2854,643,10,38,D1
106,Flange Joint,2759,643,10,38,C1
107,Valve Ball,2541,452,71,106,C1
108,Flange Joint,2496,430,9,38,C1
109,Flange Joint,2401,430,9,28,C1
110,Valve Plug (Vertical),4730,1585,49,127,F2
Vessels
Pipelines
Number,Orientation,x1,y1,x2,y2,Thickness,Location
1,horizontal,1984,4485,2395,4485,4,C6
2,horizontal,1587,4485,1913,4485,4,B6
3,horizontal,467,4485,1286,4485,4,A6
4,horizontal,4628,3533,5581,3533,4,F5
5,horizontal,4314,3533,4557,3533,4,E5
6,horizontal,3687,3533,4288,3533,4,E5
7,horizontal,2660,3533,3616,3533,4,D5
8,horizontal,2282,3533,2627,3533,4,C5
9,horizontal,2825,3263,5581,3263,4,E4
10,horizontal,2348,3263,2627,3263,4,C4
11,horizontal,1984,2815,2395,2815,4,C4
12,horizontal,1553,2815,1913,2815,4,B4
13,horizontal,1167,2815,1448,2815,4,B4
14,horizontal,467,2815,1096,2815,4,A4
15,horizontal,4964,2680,5581,2680,4,F4
16,horizontal,4045,2680,4713,2680,4,E4
17,horizontal,3452,2680,3974,2680,4,E4
18,horizontal,2643,2680,3381,2680,4,D4
19,horizontal,2864,662,3162,662,4,D1
20,horizontal,478,662,2759,662,4,B1
21,horizontal,3430,449,4977,449,4,E1
22,horizontal,2858,449,3291,449,4,D1
23,horizontal,2505,449,2787,449,4,C1
24,horizontal,2253,449,2401,449,4,C1
25,horizontal,467,449,2182,449,4,B1
26,vertical,2285,3564,2285,4003,4,C5
27,horizontal,3557,1603,3705,1603,9,D2
28,horizontal,2802,1357,3431,1357,9,D2
29,vertical,3382,1779,3382,1951,9,D3
30,horizontal,1324,4003,1986,4003,10,B5
31,horizontal,467,4003,648,4003,10,A5
32,horizontal,3015,1738,3347,1738,10,D2
33,horizontal,2643,1738,2944,1738,10,D2
34,horizontal,5058,1604,5581,1604,10,F2
35,horizontal,3977,1604,4657,1604,10,E2
36,horizontal,3777,1604,3907,1604,10,E2
37,vertical,2643,2871,2643,3140,10,C4
38,horizontal,2589,4485,2608,4485,4,C6
39,horizontal,2533,2815,2574,2815,5,C4
40,vertical,3562,1392,3562,1474,11,D2
41,vertical,3562,1510,3562,1603,11,D2
42,vertical,2401,3998,2401,4008,7,C5
43,horizontal,2253,4003,2327,4003,11,C5
44,horizontal,2022,4002,2104,4002,11,C5
45,horizontal,2533,4485,2574,4485,4,C6
46,horizontal,1075,4003,1118,4003,12,B5
47,horizontal,1143,4002,1185,4002,11,B5
48,horizontal,1222,4002,1252,4002,11,B5
49,horizontal,674,4003,726,4003,10,A5
50,horizontal,2588,2815,2608,2815,4,C4
51,horizontal,2637,3140,2649,3140,11,C4
52,horizontal,2659,3263,2753,3263,5,C4
53,vertical,2060,3297,2060,3367,5,C4
54,horizontal,2225,3263,2311,3263,4,C4
55,horizontal,4891,1603,4956,1603,14,F2
56,horizontal,2769,661,2854,661,5,D1
57,horizontal,2410,449,2496,449,4,C1
58,horizontal,1492,4485,1577,4485,5,B6
59,horizontal,1458,2814,1544,2814,5,B4
60,horizontal,2409,4002,2502,4002,13,C5
61,vertical,2502,3997,2502,4009,7,C5
62,horizontal,2635,1357,2731,1357,12,C2
63,horizontal,4752,1603,4814,1603,13,F2
64,vertical,3192,1134,3192,1165,5,D2
65,vertical,2178,3997,2178,4008,8,C5
66,horizontal,3469,1357,3499,1357,10,D2
67,vertical,3521,1353,3521,1362,9,D2
68,horizontal,2578,4002,2614,4002,11,C5
69,vertical,2643,3997,2634,4008,10,C5
70,horizontal,2095,3263,2211,3263,4,C4
71,horizontal,4773,2680,4892,2680,6,F4
72,vertical,3617,2649,3617,2680,5,D4
73,vertical,3763,2680,3763,2711,6,E4
74,vertical,4546,2649,4546,2680,5,E4
75,vertical,4133,3500,4133,3533,5,E5
76,vertical,1679,3971,1679,4003,5,B5
77,vertical,1937,3983,1937,4003,5,C5
78,vertical,1702,4485,1702,4517,6,B6
79,vertical,1355,3983,1355,4003,6,B5
80,vertical,1501,3983,1501,4003,6,B5
81,vertical,2474,3263,2474,3294,5,C4
82,horizontal,2612,2567,2643,2567,5,C3
83,horizontal,2612,2367,2643,2367,4,C3
84,horizontal,2612,2174,2643,2174,5,C3
85,horizontal,2612,1984,2643,1984,5,C3
86,horizontal,2612,1805,2643,1805,5,C3
87,vertical,3147,1738,3147,1770,6,D3
88,vertical,2665,1326,2665,1357,5,C2
89,vertical,2957,1326,2957,1357,6,D2
90,vertical,3192,1337,3192,1357,6,D2
91,vertical,5140,1572,5140,1604,5,F2
92,vertical,5320,1572,5320,1604,6,F2
93,vertical,5499,1572,5499,1604,6,F2
94,vertical,4132,1583,4132,1604,5,E2
95,vertical,4255,1583,4255,1604,5,E2
96,vertical,4378,1583,4378,1604,5,E2
97,vertical,4468,1583,4468,1604,5,E2
98,vertical,4637,1572,4637,1604,6,F2
99,horizontal,4661,1603,4747,1603,11,F2
100,vertical,3192,1303,3192,1322,6,D2
101,vertical,1075,3968,1075,4009,12,B5
102,vertical,544,4003,544,4035,6,A5
103,horizontal,2643,4787,2663,4787,7,C6
104,vertical,2061,3405,2061,4002,4,C5
105,vertical,3192,664,3192,1061,4,D1
106,vertical,5007,446,5007,1544,4,F2
107,vertical,2643,4542,2643,4978,10,C6
108,vertical,4099,1640,4099,1951,10,E3
109,vertical,2643,1392,2643,2762,10,C3
110,horizontal,467,4978,1680,4978,9,B6
111,horizontal,1680,4978,2648,4978,9,C6
112,vertical,2643,3140,2643,3665,10,C4
113,vertical,2643,3665,2643,4428,10,C5
114,horizontal,3379,1951,3525,1951,11,D3
115,horizontal,3525,1951,4104,1951,11,E3
Area Breaks
Label,Area (left/up),Area (right/down),x,y,Location
1,1,2,1680,4978,B6
2,2,3,2643,3665,C5
3,3,4,3525,1951,D3
Composition Breaks
Section Breaks
Equipment ID,Textstring ID,Reading,Section (left/up),Section (right/down),x,y,Location
32,N/A,N/A,1,2,1150,2769,B4
38,N/A,N/A,1,2,4015,2635,E3
47,N/A,N/A,1,2,2995,1693,D2
53,N/A,N/A,1,2,3954,1551,E2
54,N/A,N/A,1,2,3750,1551,D2
64,N/A,N/A,1,2,2771,1304,C2
74,N/A,N/A,1,2,2227,404,C1
81,N/A,N/A,1,2,2376,3950,C5
23,243,LC,1,2,4592,3532,E5
Text Strings
Number,Type,Pipe/Equip,Reading,x,y,w,h,Location
1,N/A,N/A,"NOTES 21, 52",636,4996,188,40,A6
2,Pipeline,110,1 GOX-1031002-DGJO4-PG,488,4940,344,36,A6
3,N/A,N/A,SMS,2260,4828,68,36,C6
4,N/A,N/A,NOTES 18y 49,1788,4828,188,40,B6
5,N/A,N/A,H,2124,4780,28,36,C6
6,N/A,N/A,SMS,2964,4772,68,36,D6
7,N/A,N/A,H,3468,4724,28,36,D6
8,N/A,N/A,4002,2548,4644,72,36,C6
9,N/A,N/A,18,1364,4592,36,36,B6
10,N/A,N/A,SPv,2524,4584,64,36,C6
11,N/A,N/A,DGJO4,1932,4580,92,36,C6
12,N/A,N/A,SGJO1,1808,4580,88,36,B6
13,N/A,N/A,N/A,2392,4540,92,24,C6
14,N/A,N/A,N I,1856,4540,36,32,C6
15,N/A,N/A,HT,1952,4536,44,36,C6
16,N/A,N/A,LPD,1740,4536,64,36,B6
17,N/A,N/A,NOTE 50,3132,4492,124,36,D6
18,N/A,N/A,NOTE 51,2696,4468,120,36,C6
19,N/A,N/A,RS,1512,4444,48,36,B6
20,Pipeline,3,0.75-ZE-O761015SGJO1-NI,552,4444,348,36,A6
21,N/A,N/A,DEMULSIFIER,188,4420,192,36,A6
22,N/A,N/A,NOTE 15,2428,4408,124,36,C6
23,N/A,N/A,DGJO4- H T,2116,4244,144,36,C5
24,N/A,N/A,CFJO1-HT,1960,4244,144,36,C5
25,N/A,N/A,"NOTES 26, 30, 38, 41",2148,4200,272,40,C5
26,N/A,N/A,NOTE 47,1184,4200,124,36,B5
27,Pipeline,102,3GD-0511001-CFJO1-HO,268,4188,324,36,A5
28,N/A,N/A,4001,2180,4160,64,36,C5
29,N/A,N/A,PACKAGE,828,4132,136,36,A5
30,N/A,N/A,SPv,2152,4100,64,36,C5
31,N/A,N/A,NOTE 44,1476,4076,120,36,B5
32,N/A,N/A,D,576,4052,36,36,A5
33,N/A,N/A,NOTE 9,188,4044,108,36,A5
34,N/A,N/A,1 O3-v1 OO3,2152,4036,140,36,C5
35,N/A,N/A,NOTE 54,1780,4032,120,36,B5
36,Reducer (Horizontal-Left),13,"6""x3",1156,4020,76,36,B5
37,N/A,N/A,TP1,672,4012,56,36,A5
38,N/A,N/A,TP2,1060,4008,60,36,B5
39,N/A,N/A,RS,2432,3964,48,36,C5
40,N/A,N/A,l,1148,3964,36,36,B5
41,N/A,N/A,l,612,3964,32,36,A5
42,N/A,N/A,NOTE 15,2160,3952,124,36,C5
43,Reducer (Horizontal-Right),11,"6""x3",1968,3952,76,36,C5
44,N/A,N/A,NO,1268,3952,44,36,B5
45,N/A,N/A,JUDY EXPORT GAS,188,3940,264,36,A5
46,N/A,N/A,NO,2520,3932,48,36,C5
47,DB&BPV (Vertical),18,"2x1""",1572,3920,72,36,B5
48,N/A,N/A,HT,1292,3880,44,36,B5
49,N/A,N/A,HO,1224,3880,44,36,B5
50,Pipeline,112,3=GD-1031000DGJO4-HT,2308,3756,324,36,C5
