JA04-03-AP-00014
PIPING AND INSTRUMENTATION DIAGRAM\JUDY RISER PLATFORM AND BRIDGE\JASMINE HP SEPARATOR
Continuity Labels
Number,Tag,x,y,w,h,Pointing Direction,Location
1,JA04-03-AP-00094,5581,3468,283,61,right,G4
2,JA04-03-AP-00013,182,2437,284,61,right,A3
3,JA04-03-AP-00015,5581,2010,284,61,right,G3
4,JA04-03-AP-00015,5581,1708,284,61,right,G2
5,JA04-03-AP-00094,5581,1573,283,61,right,G2
6,JA04-03-AP-00090,5581,1428,284,61,right,G2
7,JA04-03-AP-00015,5581,1293,283,61,right,G2
8,JA04-03-AP-00045,5581,1080,283,60,right,G2
9,JAO4-03-AP-00177,182,979,284,61,right,A2
Sensors
Number,Type,Reading,x,y,r,Location
1,Local,103-PT-1029,3662,2230,70,D3
2,Local,103-LD-1018,3954,2264,70,E3
3,Local,103-PST-1028,1534,2264,70,B3
4,Local,103-FO-1166,4884,964,70,F2
5,Local,103-LG-1237,4504,2826,66,E4
6,Local,103-PST-10288,2950,2232,70,D3
7,Local,103-LSD-1017,3338,2152,70,D3
8,Local,103-LG-1238,2542,2736,70,C4
9,Local,103-FO-1263,5198,3676,70,F5
10,Local,103-TT-1232,5330,3296,66,F4
11,Local,103-LD-1015,3784,1458,65,E2
12,Panel Mounted,103-PA-1028,2412,1826,65,C3
13,Local,1O3-PT-1224,4760,1840,70,F3
14,Panel Mounted,103-LIC-1015,4032,1458,70,E2
15,Local,103-TT-1021,3168,2836,70,D4
16,Panel Mounted,103-PS1-1028A,2952,1826,65,D3
17,Panel Mounted,103-PS1-10288,2726,1828,65,C3
18,Panel Mounted,103-LI-1018,3954,2006,70,E3
19,Local,103-LI-1015,3784,1658,70,E2
20,Panel Mounted,103-TIC-1021,3572,2834,66,D4
21,Panel Mounted,103-LSI-1017,3338,1772,65,D3
22,Panel Mounted,103-UA-1028,2110,1828,65,C3
Equipment Tags
Number,Equipment,Reading,x,y,r,Location
1,8,103-SDV-1024,3796,3520,70,E5
2,14,103-SDV-1026,5106,3362,66,F4
3,60,103-PSV-1027C,2796,834,66,D1
4,6,103-SDV-1217,4936,3688,70,F5
5,45,076-SDV-1475,852,1302,70,A2
6,56,103-BDV-1165,4022,974,65,E2
7,62,103-PSV-1027,1472,834,65,B1
8,61,103-PSV-10278,2538,834,66,C1
Equipment symbols
Number,Class,x,y,w,h,Location
1,DB&BBV (Vertical-Left),4865,3855,82,74,F5
2,DB&BBV (Vertical-Left),5133,3854,83,76,F5
3,Spectacle Blind Closed (Horizontal-Left),4333,3827,99,27,E5
4,Valve Globe (Vertical),5649,3776,37,72,G5
5,Valve Ball,5341,3731,71,72,F5
6,ESDV Valve Slab Gate,4993,3699,72,144,F5
7,Valve Ball,5632,3620,71,72,G5
8,ESDV Valve Ball Piston Operated (Horizontal),3873,3562,144,73,E5
9,Valve Ball,4377,3552,70,83,E5
10,Valve Check (Horizontal-Right),5464,3480,72,38,F4
11,Removable Spool,4680,3447,93,37,F4
12,Reducer (Horizontal-Right),4512,3447,38,37,E4
13,Valve Ball,4589,3430,72,71,E4
14,ESDV Valve Slab Gate,4960,3339,71,145,F4
15,DB&BPV (Vertical),3963,3304,99,73,E4
16,Valve Plug (Vertical),4226,3249,49,72,E4
17,Reducer (Vertical-Down),3980,3216,37,39,E4
18,Valve Ball,4377,3059,72,71,E4
19,Valve Ball,2608,2969,71,72,C4
20,Vessel Connection,4237,2941,33,38,E4
21,DB&BPV (Horizontal),4288,2925,71,99,E4
22,Vessel Connection,2764,2852,33,37,C4
23,DB&BPV (Horizontal),2675,2835,71,99,C4
24,Flange,2541,2811,4,22,C4
25,Vessel Connection,4237,2684,33,37,E4
26,DB&BPV (Horizontal),4288,2667,71,99,E4
27,Flange,2541,2640,4,22,C4
28,Vessel Connection,2764,2583,33,38,C3
29,DB&BPV (Horizontal),2675,2566,71,99,C3
30,Reducer (Horizontal-Left),1807,2449,37,37,B3
31,Injector Point (Horizontal),900,2432,104,71,A3
32,DB&BBV (Vertical-Left),1516,2363,82,73,B3
33,DB&BPV (Vertical),1152,2352,99,73,B3
34,Removable Spool,1168,2249,38,97,B3
35,DB&BBV (Vertical-Left),933,2239,83,136,B3
36,Reducer (Vertical-Up),3532,2067,37,37,D3
37,Reducer (Horizontal-Right),4473,2022,37,38,E3
38,Valve Ball,4859,2005,71,71,F3
39,DB&BBV (Vertical-Left),4741,1935,83,74,F3
40,Valve Check (Vertical-Down),933,1804,38,82,B3
41,Exit,1482,1596,21,38,B2
42,Valve Ball,1521,1478,71,72,B2
43,Valve Ball,2843,1456,71,71,D2
44,Valve Ball,2440,1411,71,72,C2
45,ESDV Valve Ball Piston Operated (Horizontal),827,1387,161,73,A2
46,Valve Ball,1521,1239,71,87,B2
47,Valve Ball,2843,1232,71,83,D2
48,Valve Ball,2440,1220,71,72,C2
49,Valve Ball,1582,1143,78,71,B2
50,Reducer (Vertical-Up),2860,1102,37,39,D2
